koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_tce_delivname_q1_q16_tce,koi_tce_delivname_q1_q17_dr24_tce,koi_tce_delivname_q1_q17_dr25_tce,koi_depth_err1,koi_time0bk_err1,koi_insol_err1,koi_model_snr,koi_kepmag,koi_period_err2,koi_slogg_err2,koi_prad_err2,koi_prad_err1,ra,koi_duration,dec,koi_period,koi_depth,koi_srad,koi_srad_err2,koi_duration_err2,koi_steff_err1,koi_time0bk,koi_slogg_err1,koi_score,koi_period_err1,koi_insol_err2,koi_teq,koi_time0bk_err2,koi_steff_err2,koi_impact_err2,koi_steff,koi_duration_err1,koi_impact_err1,koi_tce_plnt_num,koi_insol,koi_depth_err2,koi_impact,koi_prad,koi_slogg,koi_srad_err1
0,0,0,0,0.0,0.0,1.0,46.8,0.000916,0.88,106.2,14.232,-0.000174,-0.09,-2.94,3.6,283.20917,4.3823,48.777641,150.0189511,4320.0,0.897,-0.081,-0.0486,112.0,224.685714,0.081,0.999,0.000174,-0.62,325.0,-0.000916,-112.0,-0.169,5618.0,0.0486,67.03,2.0,2.62,-46.8,1.252,32.6,4.46,0.099
0,0,0,0,0.0,0.0,1.0,27.4,0.0278,6.46,8.4,14.909,-0.00372,-0.098,-0.47,0.36,295.55292,7.52,45.473431,82.78482,190.0,1.48,-0.326,-1.1,78.0,141.3871,0.182,0.742,0.00372,-6.31,501.0,-0.0278,-78.0,-0.474,5749.0,1.1,0.285,1.0,14.88,-27.4,0.682,2.16,4.123,0.245
0,1,0,0,0.0,0.0,1.0,42.8,4.15e-05,7.54,2384.6,14.08,-4.64e-06,-0.196,-4.41,10.3,295.18088,4.65559,40.339882,78.60436061,78100.0,0.985,-0.125,-0.0023,160.0,143.9949276,0.098,0.0,4.64e-06,-2.82,438.0,-4.15e-05,-178.0,-0.011,5938.0,0.0023,0.014,1.0,8.68,-42.8,0.828,34.8,4.427,0.292
0,0,0,0,0.0,0.0,1.0,10.5,0.00779,176.97,10.4,15.033,-3.35e-05,-0.099,-0.12,0.14,284.72797,2.557,45.064968,3.5944891,89.9,1.046,-0.126,-0.269,74.0,132.36207,0.121,0.995,3.35e-05,-121.77,1178.0,-0.00779,-74.0,-0.041,5523.0,0.269,0.414,1.0,455.99,-10.5,0.041,0.98,4.364,0.154
0,1,0,0,0.0,0.0,1.0,241.0,0.000777,940.9,247.2,15.929,-2.98e-06,-0.175,-125.0,153.0,290.22836,2.5276,40.355389,4.350460215,50400.0,1.416,-0.332,-0.0125,185.0,132.27239,0.175,0.0,2.98e-06,-552.87,1472.0,-0.000777,-254.0,-0.086,6585.0,0.0125,44.26,1.0,1107.34,-241.0,4.203,533.08,4.208,0.406
0,0,0,0,0.0,0.0,1.0,11.8,0.00283,178.9,23.9,14.523,-1.27e-05,-0.104,-0.3,0.27,294.15271,2.8059,38.23304,4.02582434,265.0,1.116,-0.186,-0.0826,82.0,135.42508,0.156,0.986,1.27e-05,-150.56,1169.0,-0.00283,-74.0,-0.017,5509.0,0.0826,0.429,2.0,440.08,-11.8,0.017,1.79,4.308,0.169
0,0,0,0,0.0,0.0,1.0,69.9,0.0315,11187.41,100.1,14.319,-1.86e-05,-0.325,-33.8,41.3,291.10974,1.3875,47.61549,0.84986054,6570.0,1.676,-0.839,-0.0225,102.0,132.0547,0.604,0.701,1.86e-05,-4761.44,2260.0,-0.0315,-102.0,-0.182,5164.0,0.0225,4.633,1.0,6185.9,-69.9,1.26,67.45,3.949,1.025
0,0,0,0,0.0,0.0,1.0,19.3,0.00432,533.78,16.5,15.598,-2.78e-05,-0.208,-0.26,0.66,290.86771,3.167,38.960121,5.19492747,273.0,1.224,-0.16,-0.132,177.0,131.62458,0.065,0.987,2.78e-05,-195.42,1238.0,-0.00432,-243.0,-0.093,6415.0,0.132,0.376,1.0,554.37,-19.3,0.093,2.03,4.374,0.4
0,0,0,0,0.0,0.0,1.0,21.6,0.00471,5.24,46.1,13.256,-0.000649,-0.104,-0.35,0.74,286.68552,11.637,47.098221,120.0183551,886.0,1.467,-0.111,-0.159,103.0,134.18742,0.048,0.978,0.000649,-2.65,473.0,-0.00471,-154.0,-0.371,6469.0,0.159,0.296,1.0,11.84,-21.6,0.58,4.54,4.253,0.24
0,0,0,0,0.0,0.0,1.0,21.5,0.028,3.54,13.0,15.015,-0.00382,-0.108,-0.35,0.35,290.14655,14.077,39.665821,114.336052,240.0,1.316,-0.222,-0.814,78.0,216.7966,0.162,0.944,0.00382,-2.77,429.0,-0.028,-78.0,-0.455,5802.0,0.814,0.019,1.0,8.02,-21.5,0.529,2.09,4.218,0.222
